epoch,train_loss,train_acc,val_loss,val_acc,lr,time
1,3.794633388519287,0.015625,3.756499767303467,0.09375,0.001,1.3219754695892334
2,3.5503036975860596,0.109375,3.747375965118408,0.09375,0.001,1.3720002174377441
3,3.4574027061462402,0.21875,3.7352688312530518,0.09375,0.001,1.4061219692230225
4,3.329385280609131,0.203125,3.7183144092559814,0.09375,0.001,1.439596176147461
5,3.190802574157715,0.234375,3.696794271469116,0.09375,0.001,1.4731910228729248
6,3.090365409851074,0.25,3.669301748275757,0.09375,0.001,1.5070443153381348
7,2.976361036300659,0.265625,3.6356360912323,0.140625,0.001,1.5405855178833008
8,2.9979052543640137,0.203125,3.596583604812622,0.140625,0.001,1.579080581665039
9,2.8353023529052734,0.21875,3.5522942543029785,0.140625,0.001,1.6124143600463867
10,2.782388687133789,0.25,3.5021584033966064,0.140625,0.001,1.6448171138763428
11,2.6792054176330566,0.296875,3.4462177753448486,0.140625,0.001,1.6769435405731201
12,2.6529464721679688,0.21875,3.3869822025299072,0.140625,0.001,1.7080771923065186
13,2.561302900314331,0.265625,3.3267178535461426,0.140625,0.001,1.7394092082977295
14,2.6241979598999023,0.203125,3.2676525115966797,0.140625,0.001,1.7707452774047852
15,2.4479379653930664,0.28125,3.213240385055542,0.140625,0.001,1.8017315864562988
16,2.3757565021514893,0.296875,3.1752796173095703,0.140625,0.0005,1.8330605030059814
17,2.4395346641540527,0.28125,3.1410961151123047,0.140625,0.0005,1.8667445182800293
18,2.3933656215667725,0.3125,3.109311580657959,0.140625,0.0005,1.8962857723236084
19,2.359562635421753,0.25,3.0797557830810547,0.140625,0.0005,1.9261410236358643
20,2.3002376556396484,0.34375,3.0525755882263184,0.140625,0.0005,1.9562084674835205
