epoch,train_loss,train_acc,val_loss,val_acc,lr,time
1,3.6622161865234375,0.125,3.309792995452881,0.125,0.01,0.36377930641174316
2,2.6872644424438477,0.25,2.814377546310425,0.0625,0.01,0.3872501850128174
3,2.1062076091766357,0.25,2.739842414855957,0.125,0.01,0.4089796543121338
4,1.733581781387329,0.375,2.5487632751464844,0.1875,0.01,0.4303457736968994
5,1.4463050365447998,0.625,2.4764480590820312,0.25,0.01,0.45241308212280273
6,1.3173714876174927,0.5625,2.1734488010406494,0.25,0.01,0.473893404006958
7,0.9704203009605408,0.8125,2.4799256324768066,0.25,0.01,0.49479055404663086
8,0.7155792117118835,0.875,3.115006685256958,0.25,0.01,0.5020158290863037
9,0.5635977983474731,0.8125,4.074863910675049,0.3125,0.01,0.5090904235839844
10,0.4382499158382416,0.9375,4.747961044311523,0.25,0.01,0.5162818431854248
11,0.32253387570381165,1.0,5.5924787521362305,0.25,0.01,0.5303940773010254
12,0.2322927713394165,0.9375,6.707727432250977,0.25,0.01,0.5374994277954102
13,0.1934942603111267,1.0,7.75749397277832,0.25,0.01,0.5446882247924805
14,0.15111789107322693,1.0,8.35993480682373,0.25,0.01,0.5519049167633057
15,0.11721079051494598,1.0,8.586822509765625,0.25,0.01,0.5590319633483887
16,0.09798824787139893,1.0,11.190799713134766,0.25,0.01,0.5735909938812256
17,0.11909562349319458,0.9375,11.35521411895752,0.25,0.01,0.5808448791503906
18,0.13716617226600647,0.9375,13.267410278320312,0.25,0.01,0.5879802703857422
19,0.05498747155070305,1.0,15.343744277954102,0.25,0.01,0.5951764583587646
20,0.1285523772239685,0.9375,16.348709106445312,0.1875,0.01,0.602308988571167
21,0.04105065390467644,1.0,17.11446189880371,0.1875,0.01,0.6168129444122314
22,0.10095150023698807,0.9375,18.308433532714844,0.1875,0.01,0.6239795684814453
23,0.0325193926692009,1.0,19.187400817871094,0.1875,0.01,0.6308550834655762
24,0.08428993821144104,0.9375,18.838645935058594,0.1875,0.01,0.6376726627349854
25,0.024358289316296577,1.0,18.122955322265625,0.1875,0.01,0.6460926532745361
26,0.060971565544605255,0.9375,17.876102447509766,0.1875,0.01,0.6612012386322021
27,0.018399935215711594,1.0,17.538623809814453,0.1875,0.01,0.6681959629058838
28,0.03516241908073425,1.0,16.819604873657227,0.1875,0.01,0.675114631652832
29,0.01728253811597824,1.0,15.875253677368164,0.1875,0.01,0.6817717552185059
30,0.013307305052876472,1.0,15.080709457397461,0.25,0.01,0.688593864440918
31,0.02130814827978611,1.0,14.668245315551758,0.3125,0.01,0.7024867534637451
32,0.005274596624076366,1.0,14.193689346313477,0.3125,0.01,0.7092905044555664
33,0.012136976234614849,1.0,13.43161392211914,0.3125,0.01,0.71598219871521
34,0.008042514324188232,1.0,12.393871307373047,0.3125,0.01,0.7227327823638916
35,0.0025764992460608482,1.0,11.324319839477539,0.3125,0.01,0.7295112609863281
36,0.005280905868858099,1.0,10.333076477050781,0.375,0.01,0.7435519695281982
37,0.005739542655646801,1.0,9.44601058959961,0.375,0.01,0.7503879070281982
38,0.0018014583038166165,1.0,8.557456970214844,0.375,0.01,0.757359504699707
39,0.0012830371269956231,1.0,7.6482696533203125,0.375,0.01,0.7641572952270508
40,0.002281495602801442,1.0,6.786938190460205,0.375,0.01,0.7709975242614746
41,0.0030935555696487427,1.0,6.021207332611084,0.375,0.01,0.7848665714263916
42,0.0016356240957975388,1.0,5.34085750579834,0.4375,0.01,0.7916924953460693
43,0.000683544494677335,1.0,4.720861434936523,0.4375,0.01,0.7984933853149414
44,0.000442920601926744,1.0,4.1439104080200195,0.5,0.01,0.8051905632019043
45,0.0005073226639069617,1.0,3.6023292541503906,0.5,0.01,0.811457633972168
46,0.0007696180837228894,1.0,3.0888242721557617,0.5625,0.01,0.824657678604126
47,0.0009886223124340177,1.0,2.5938801765441895,0.5625,0.01,0.8309693336486816
48,0.0008306886884383857,1.0,2.1092231273651123,0.5625,0.01,0.8372080326080322
49,0.0005166009650565684,1.0,1.641418695449829,0.5625,0.01,0.8595573902130127
50,0.0003233013558201492,1.0,1.2008353471755981,0.5625,0.01,0.8804259300231934
51,0.00023975780641194433,1.0,0.8215764760971069,0.625,0.01,0.9010336399078369
52,0.00021222233772277832,1.0,0.5284962058067322,0.8125,0.01,0.9218490123748779
53,0.0002131097426172346,1.0,0.31792667508125305,0.8125,0.01,0.9423139095306396
54,0.00023181216965895146,1.0,0.17627355456352234,0.875,0.01,0.9624686241149902
55,0.00026047235587611794,1.0,0.09012719988822937,1.0,0.01,0.9826390743255615
56,0.0002883494889829308,1.0,0.04421980306506157,1.0,0.01,1.0031983852386475
57,0.0003011339285876602,1.0,0.021584372967481613,1.0,0.01,1.0294349193572998
58,0.0002901966799981892,1.0,0.010773112997412682,1.0,0.01,1.0565838813781738
59,0.00025965890381485224,1.0,0.005522215738892555,1.0,0.01,1.0766613483428955
60,0.00022243353305384517,1.0,0.0029438920319080353,1.0,0.01,1.0965652465820312
61,0.00018889104831032455,1.0,0.0016532171284779906,1.0,0.01,1.1165742874145508
62,0.00016327868797816336,1.0,0.0009941760217770934,1.0,0.01,1.1369812488555908
63,0.0001454921584809199,1.0,0.000643830222543329,1.0,0.01,1.1600139141082764
64,0.00013376405695453286,1.0,0.0004489983548410237,1.0,0.01,1.1805510520935059
65,0.00012649565178435296,1.0,0.0003327433078084141,1.0,0.01,1.2010002136230469
66,0.0001223920553456992,1.0,0.0002603692701086402,1.0,0.01,1.221074104309082
67,0.00012049284850945696,1.0,0.0002130754292011261,1.0,0.01,1.2408723831176758
68,0.00012009798956569284,1.0,0.00018116107094101608,1.0,0.01,1.2606210708618164
69,0.00012066376075381413,1.0,0.00015898124547675252,1.0,0.01,1.280292272567749
70,0.00012163152860011905,1.0,0.00014305399963632226,1.0,0.01,1.300536870956421
71,0.0001225991582032293,1.0,0.0001315563276875764,1.0,0.01,1.3229084014892578
72,0.0001231794449267909,1.0,0.00012320067617110908,1.0,0.01,1.361048698425293
73,0.00012295544729568064,1.0,0.00011707140220096335,1.0,0.01,1.3835084438323975
74,0.00012177829921711236,1.0,0.00011255059507675469,1.0,0.01,1.406944751739502
75,0.00011962568532908335,1.0,0.00010914683662122115,1.0,0.01,1.4313099384307861
76,0.0001166688307421282,1.0,0.00010664419096428901,1.0,0.01,1.4549026489257812
77,0.00011318323959130794,1.0,0.00010475967428646982,1.0,0.01,1.4783895015716553
78,0.00010945925896521658,1.0,0.00010329965152777731,1.0,0.01,1.5118701457977295
79,0.00010580966772977263,1.0,0.00010210774780716747,1.0,0.01,1.5468597412109375
80,0.00010233127977699041,1.0,0.00010103500972036272,1.0,0.01,1.578934907913208
81,9.921032324200496e-05,1.0,0.00010002186900237575,1.0,0.01,1.6167044639587402
82,9.645427053328604e-05,1.0,9.891935042105615e-05,1.0,0.01,1.649261713027954
83,9.406312892679125e-05,1.0,9.769767348188907e-05,1.0,0.01,1.6798174381256104
84,9.20667516766116e-05,1.0,9.634938032831997e-05,1.0,0.01,1.708528757095337
85,9.040554868988693e-05,1.0,9.491915989201516e-05,1.0,0.01,1.7406606674194336
86,8.902738045435399e-05,1.0,9.33623086893931e-05,1.0,0.01,1.7732508182525635
87,8.792482549324632e-05,1.0,9.176076855510473e-05,1.0,0.01,1.8066904544830322
88,8.697124576428905e-05,1.0,9.01294406503439e-05,1.0,0.01,1.8362011909484863
89,8.618154970463365e-05,1.0,8.855023042997345e-05,1.0,0.01,1.867408275604248
90,8.549613994546235e-05,1.0,8.697847079019994e-05,1.0,0.01,1.8997058868408203
91,8.484053250867873e-05,1.0,8.545139280613512e-05,1.0,0.01,1.9266798496246338
92,8.426688145846128e-05,1.0,8.39987988001667e-05,1.0,0.01,1.9546802043914795
93,8.364854147657752e-05,1.0,8.265793439932168e-05,1.0,0.01,1.9832251071929932
94,8.300784975290298e-05,1.0,8.140644786180928e-05,1.0,0.01,2.013713836669922
95,8.238207374233752e-05,1.0,8.025178976822644e-05,1.0,0.01,2.110370397567749
96,8.166691259248182e-05,1.0,7.917908078525215e-05,1.0,0.01,2.209550380706787
97,8.095920929918066e-05,1.0,7.81883136369288e-05,1.0,0.01,2.2367119789123535
98,8.022916881600395e-05,1.0,7.729437493253499e-05,1.0,0.01,2.2629506587982178
99,7.943208765937015e-05,1.0,7.643767457921058e-05,1.0,0.01,2.3109705448150635
100,7.865735824452713e-05,1.0,7.565547275589779e-05,1.0,0.01,2.336709976196289
101,7.786772766849026e-05,1.0,7.495522004319355e-05,1.0,0.01,2.36672306060791
102,7.708555494900793e-05,1.0,7.430710684275255e-05,1.0,0.01,2.3960654735565186
103,7.631828339071944e-05,1.0,7.366643694695085e-05,1.0,0.01,2.423614978790283
